name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
dannysj_job-seeking-demo,https://github.com/dannysj/job-seeking-demo,A post-graduate advising e-commerce platform,38901,0,0,JavaScript,0,647,8,-1,-1,-1
CodeLegend620_react-native-app,https://github.com/CodeLegend620/react-native-app,,3699,0,0,JavaScript,0,1803,524,-1,-1,-1
LambdaSchool_Redux-Counter,https://github.com/LambdaSchool/Redux-Counter,,389,9,9,JavaScript,1434,2403,1129,-1,-1,-1
KlimTrakht_WEB-development-course,https://github.com/KlimTrakht/WEB-development-course,,54,0,0,JavaScript,22,696,46,-1,-1,-1
SamuelCabralCruz_GLO-3013-station,https://github.com/SamuelCabralCruz/GLO-3013-station,"Base station for decision making, statistic reporting and live tracking of a mobile robot.",139463,0,0,JavaScript,0,981,7,-1,-1,-1
dongodngtang_Desh1,https://github.com/dongodngtang/Desh1,,22275,0,0,JavaScript,0,3665,14,-1,-1,-1
MAAP-Project_maap-ade-common-mapping-client,https://github.com/MAAP-Project/maap-ade-common-mapping-client,A JupyterLab widget for the Common Mapping Client build for MAAP,51862,0,0,JavaScript,0,1323,8,-1,-1,-1
johnnygan_laravel52,https://github.com/johnnygan/laravel52,Application based on laravel 5.2,16270,0,0,JavaScript,0,1955,9,-1,-1,-1
csyke_initial,https://github.com/csyke/initial,,12063,0,0,JavaScript,0,2409,190,-1,-1,-1
JarvusInnovations_hologit,https://github.com/JarvusInnovations/hologit,,707,0,0,JavaScript,0,501,1,-1,-1,-1
bookbrainz_bookbrainz-data-js,https://github.com/bookbrainz/bookbrainz-data-js,A JavaScript data access module for BookBrainz,1788,5,5,JavaScript,5,1075,11,-1,-1,-1
Aviion_ghostery-extension,https://github.com/Aviion/ghostery-extension,,2172,0,0,JavaScript,0,0,0,-1,-1,-1
GTBitsOfGood_midtown-assistance-center,https://github.com/GTBitsOfGood/midtown-assistance-center,"A web application to link Georgia tech tutors for low income elementary, middle and high school students around the Atlanta Midtown area",6313,4,4,JavaScript,0,1071,53,-1,-1,-1
jmlntw_dotfiles,https://github.com/jmlntw/dotfiles,My personal configuration files.,354,2,2,JavaScript,1,532,1,-1,-1,-1
noev_unity,https://github.com/noev/unity,,45738,0,0,JavaScript,0,2699,181,-1,-1,-1
vtex-apps_store-header,https://github.com/vtex-apps/store-header,VTEX Header app for IO Stores,550,2,2,JavaScript,4,611,39,-1,-1,-1
nypublicradio_nypr-account-settings,https://github.com/nypublicradio/nypr-account-settings,ember components for account settings,2384,1,1,JavaScript,0,1311,14,-1,-1,-1
FightForSub_ffs-zera,https://github.com/FightForSub/ffs-zera,Fight For Subs Front,8749,25,25,JavaScript,9,563,14,-1,-1,-1
storj_blog,https://github.com/storj/blog,"Company blog, built with Hugo and hosted on Netlify",140739,4,4,JavaScript,3,625,11,-1,-1,-1
knb-wkm_walter-02,https://github.com/knb-wkm/walter-02,,12959,0,0,JavaScript,0,1574,14,-1,-1,-1
livechat_design-system,https://github.com/livechat/design-system,LiveChat design system components,4826,4,4,JavaScript,0,688,16,-1,-1,-1
ralic_karma2,https://github.com/ralic/karma2,,7116,0,0,JavaScript,0,2523,355,-1,-1,-1
eric-erki_botkit,https://github.com/eric-erki/botkit,"Botkit is the leading developer tool for building chat bots, apps and custom integrations for major messaging platforms.",2803,0,0,JavaScript,0,2259,234,-1,-1,-1
markprisacaru_wabashlightspxt,https://github.com/markprisacaru/wabashlightspxt,,264311,0,0,JavaScript,0,7918,72,-1,-1,-1
exokitxr_exokit-site,https://github.com/exokitxr/exokit-site,,311494,1,1,JavaScript,1,1256,62,-1,-1,-1
EraYaN_jellyfin-dashboard,https://github.com/EraYaN/jellyfin-dashboard,Result of pull out script.,333717,0,0,JavaScript,0,6161,52,-1,-1,-1
mlibrary_lumberyard,https://github.com/mlibrary/lumberyard,:clipboard: Sanely log process trees as they appear,416,1,1,JavaScript,1,714,2,-1,-1,-1
jahoops_hyperapp,https://github.com/jahoops/hyperapp,,2233,0,0,JavaScript,0,977,88,-1,-1,-1
Viictorvhn_entra21-c-sharp-grupo-01,https://github.com/Viictorvhn/entra21-c-sharp-grupo-01,,33324,0,0,JavaScript,0,942,10,-1,-1,-1
QUANTOR-CO_platform,https://github.com/QUANTOR-CO/platform,,2457,0,0,JavaScript,0,1612,136,-1,-1,-1
hubmapconsortium_vitessce,https://github.com/hubmapconsortium/vitessce,Vitessce is a visual integration tool for exploration of spatial single-cell experiments. ,1108,3,3,JavaScript,0,0,0,-1,-1,-1
canjs_can-connect,https://github.com/canjs/can-connect,"Model layer utilities for every JavaScript framework! Assemble real-time, high performance, restful data connections.",8483,25,25,JavaScript,14,1272,65,-1,-1,-1
Joel-An_dev-cafe-client,https://github.com/Joel-An/dev-cafe-client,frontend for dev cafe,576,0,0,JavaScript,1,673,1,-1,-1,-1
VueMeetups_vuemeetups.org,https://github.com/VueMeetups/vuemeetups.org,A place to centralize all Vue.js community efforts,1008,34,34,JavaScript,43,549,45,-1,-1,-1
named-data_ndn-js,https://github.com/named-data/ndn-js,Lightweight NDN stack in pure javascript,31448,92,92,JavaScript,30,2897,30,-1,-1,-1
