name,url,description,size,stars,watchers,language,forks,commits,authors,lines_of_code,lines_of_comments,lines_blank
eclipse-vertx_vertx-sql-client,https://github.com/eclipse-vertx/vertx-sql-client,High performance reactive SQL Client written in Java,6123,444,444,Java,57,1173,30,-1,-1,-1
eclipse_rdf4j,https://github.com/eclipse/rdf4j,RDF4J Project,14915,161,161,Java,59,2833,66,-1,-1,-1
bazelbuild_intellij,https://github.com/bazelbuild/intellij,IntelliJ plugin for Bazel projects,113047,301,301,Java,93,757,68,-1,-1,-1
qos-ch_logback,https://github.com/qos-ch/logback,"The reliable, generic, fast and flexible logging framework for Java.",26647,1645,1645,Java,787,5032,474,-1,-1,-1
netty_netty,https://github.com/netty/netty,Netty project - an event-driven asynchronous network application framework,58064,19950,19950,Java,9094,26297,1126,-1,-1,-1
jenkinsci_docker-workflow-plugin,https://github.com/jenkinsci/docker-workflow-plugin,,579,328,328,Java,292,657,138,-1,-1,-1
Grover-c13_PokeGOAPI-Java,https://github.com/Grover-c13/PokeGOAPI-Java,Pokemon Go API,10427,1071,1071,Java,375,2148,141,-1,-1,-1
zolyfarkas_spf4j,https://github.com/zolyfarkas/spf4j,Simple performance framework for java,833522,146,146,Java,16,31993,9,-1,-1,-1
swagger-api_swagger-inflector,https://github.com/swagger-api/swagger-inflector,,4088,102,102,Java,59,786,39,-1,-1,-1
yahoo_fili,https://github.com/yahoo/fili,Easily make RESTful web services for time series reporting with Big Data analytics engines like Druid and SQL Databases.,10864,120,120,Java,63,3106,89,-1,-1,-1
hivemq_hivemq-mqtt-client,https://github.com/hivemq/hivemq-mqtt-client,HiveMQ MQTT Client is a MQTT 5.0 and MQTT 3.1.1 compatible and feature-rich high-performance Java client library with different API flavours and backpressure support,5333,140,140,Java,20,2504,19,-1,-1,-1
ObeoNetwork_UML-Designer,https://github.com/ObeoNetwork/UML-Designer,"OpenSource (EPL licensed) UML2 Graphical Modelers (Class, Composite, State, Activity, Sequence ...)",140529,247,247,Java,112,2208,50,-1,-1,-1
spring-projects_spring-amqp,https://github.com/spring-projects/spring-amqp,"Spring AMQP - support for Spring programming model with AMQP, especially but not limited to RabbitMQ",12944,506,506,Java,426,4237,180,-1,-1,-1
SeldonIO_seldon-core,https://github.com/SeldonIO/seldon-core,Machine Learning Deployment for Kubernetes,40415,996,996,Java,192,2379,40,-1,-1,-1
yegor256_rultor,https://github.com/yegor256/rultor,DevOps Team Assistant,92546,384,384,Java,116,5979,93,-1,-1,-1
eclipse-cdt_cdt,https://github.com/eclipse-cdt/cdt,C/C++ Development Tooling (CDT) Eclipse plug-ins,171777,114,114,Java,103,43733,356,-1,-1,-1
nuxeo_nuxeo,https://github.com/nuxeo/nuxeo,Content management platform to build modern business applications,372690,297,297,Java,186,132633,283,-1,-1,-1
BentoBoxWorld_BentoBox,https://github.com/BentoBoxWorld/BentoBox,Expandable Minecraft server plugin for island-type games like SkyBlock or AcidIsland.,47645,113,113,Java,58,2193,32,-1,-1,-1
igniterealtime_Openfire,https://github.com/igniterealtime/Openfire,A XMPP server licensed under the Open Source Apache License.,854081,1914,1914,Java,1077,11949,260,-1,-1,-1
Vazkii_Quark,https://github.com/Vazkii/Quark,"Small things, improving Minecraft without changing the core gameplay.",35625,188,188,Java,81,2067,106,-1,-1,-1
hibernate_hibernate-orm,https://github.com/hibernate/hibernate-orm,Hibernate's core Object/Relational Mapping functionality,166590,3896,3896,Java,2573,24080,1088,-1,-1,-1
graphaware_neo4j-framework,https://github.com/graphaware/neo4j-framework,GraphAware Neo4j Framework,8059,219,219,Java,62,1570,22,-1,-1,-1
plutext_docx4j,https://github.com/plutext/docx4j,"JAXB-based Java library for Word docx, Powerpoint pptx, and Excel xlsx files",115910,1173,1173,Java,963,5429,100,-1,-1,-1
mosmetro-android_mosmetro-android,https://github.com/mosmetro-android/mosmetro-android,"Основной репозиторий приложения ""Wi-Fi в метро""",35285,203,203,Java,27,1402,14,-1,-1,-1
davidmoten_rxjava2-extras,https://github.com/davidmoten/rxjava2-extras,Utilities for use with RxJava 2,2173,145,145,Java,12,740,4,-1,-1,-1
Glitchfiend_BiomesOPlenty,https://github.com/Glitchfiend/BiomesOPlenty,Minecraft mod that adds over 50 new biomes to the game.,31428,315,315,Java,161,4712,155,-1,-1,-1
spring-cloud_spring-cloud-task,https://github.com/spring-cloud/spring-cloud-task,Short lived microservices with Spring Batch,3179,230,230,Java,186,1047,59,-1,-1,-1
dhis2_dhis2-core,https://github.com/dhis2/dhis2-core,DHIS 2 Core. Written in Java. Contains the service layer and Web API.,68952,137,137,Java,145,16786,156,-1,-1,-1
codecentric_spring-boot-admin,https://github.com/codecentric/spring-boot-admin,Admin UI for administration of spring boot applications,17986,7414,7414,Java,2060,2316,190,-1,-1,-1
Railcraft_Railcraft,https://github.com/Railcraft/Railcraft,"The Railcraft Mod for Minecraft, source and development.",14626,390,390,Java,136,3176,68,-1,-1,-1
xidian-rs_Ruisi,https://github.com/xidian-rs/Ruisi,西电睿思手机客户端[Android]适用于discuz论坛,83283,137,137,Java,55,531,11,-1,-1,-1
charles-wangkai_hackerrank,https://github.com/charles-wangkai/hackerrank,My HackerRank solutions,707,191,191,Java,173,926,11,-1,-1,-1
